"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","22uF","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","1",""
"C2,C4","100nF","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","2",""
"J1","Input","~","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","1",""
"J2","OUT 1","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J3","OUT 2","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J4","OUT 3","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J5","OUT 4","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J6","RST_M","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1",""
"J7","Sense_OUT","~","Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical","1",""
"R1,R2,R3,R4,R5,R6,R7,R8,R12,R13,R35","2,2kR","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","11",""
"U1","TCA9548APWR","http://www.ti.com/lit/ds/symlink/tca9548a.pdf","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","1",""
